codmunicipio;indativo;codunidade;nomunidade;codsetor;nomsetor;codproduto;sglunidadeproduto;nomproduto;codoperador;codgrupo;desgrupo;codsubgrupo;dessubgrupo;qde
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2097;CAPS      ;ISONIAZIDA + RIFAMPICINA  75+150 MG;685;0;NÃO INFORMADO;0;NÃO INFORMADO;164
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;987;COMP      ;RIFAMPICINA + DAPSONA   (300+300)+100 MG;685;0;NÃO INFORMADO;0;NÃO INFORMADO;190
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;98322;COMP      ;ACICLOVIR 200MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1634
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8715;TUBO      ;ACICLOVIR 50MG/G CREM DERM;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;89
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2682;COMP      ;ACIDO ACETILSALICILICO 100MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;2010
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;4457;COMP      ;ACIDO FOLICO 5MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1095
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;6871;COMP      ;ALBENDAZOL 400MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;535
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;2683;FR        ;ALBENDAZOL 40MG/ML SUSP ORAL;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;66
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;9130;COMP      ;ALENDRONATO 70MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;76
3168002;S;22;FARMACIA DE MINAS;14;FARMACIA SATELITE;8640;COMP      ;ALOPURINOL 100MG COMP;685;1;MEDICAMENTOS BÁSICOS;0;MEDICAMENTOS BASICOS;1840
